# Astrax offline transition dataset
# state values are finite and bounded to [-1, 1]
action,reward,terminal,state,next_state
0,0.117517106,0,-0.236336827;0.108445853;-0.109434612;-0.00477357442;0.00284376321;0.0174439494;-0.22472848;-0.00435619149;0.000781022478;-0.00286129653;-0.00306438422;0.00232280581;0.00560497027;0.00429249043;-0.00511889905;-0.000396099058;0.00068453874;-0.00239106547;0.000530285179;0.000308939838;-0.00119508733;-0.00289043109;0.00535386894;0.00318692974;-0.000207594538;5.84974186e-05;-0.00359391025;0.000763092539;0.00752217462;0.00305519369;-0.000351927243;0.00206846581,-0.363853931;0.109050944;-0.108232982;-0.00373045355;0.00382926804;0.0174845066;-0.22333543;-0.00405515684;0.000208598562;-0.00261629792;-0.00424193032;0.00103886554;0.00642060442;0.0044506439;-0.00656088395;-0.00140028226;0.00184889021;-0.0023173159;0.000714827911;0.00156311784;-0.000727159728;-0.00168323168;0.00433202833;0.00436595408;0.000347393681;0.00151624961;-0.00337672792;-0.00039033225;0.0063102264;0.00245917868;0.000959003577;0.00203362457
3,-0.0640703514,0,-0.363853931;0.109050944;-0.108232982;-0.00373045355;0.00382926804;0.0174845066;-0.22333543;-0.00405515684;0.000208598562;-0.00261629792;-0.00424193032;0.00103886554;0.00642060442;0.0044506439;-0.00656088395;-0.00140028226;0.00184889021;-0.0023173159;0.000714827911;0.00156311784;-0.000727159728;-0.00168323168;0.00433202833;0.00436595408;0.000347393681;0.00151624961;-0.00337672792;-0.00039033225;0.0063102264;0.00245917868;0.000959003577;0.00203362457,-0.362094522;0.109147049;-0.108775921;-0.120481454;0.00391674461;0.0187623911;-0.222515866;-0.00395012554;0.00104250747;-0.00291557261;-0.00492027868;0.00015404477;0.00528866611;0.00397512969;-0.0078400895;-0.00081558025;0.00105648348;-0.0019888645;0.000579927233;0.00108982553;-0.00118880358;-0.000703164842;0.00394961052;0.00392095791;0.0016313215;0.00180206739;-0.00261183782;0.000813624007;0.00510544144;0.00302718044;0.00026369543;0.00139308441
7,0.112983458,0,-0.362094522;0.109147049;-0.108775921;-0.120481454;0.00391674461;0.0187623911;-0.222515866;-0.00395012554;0.00104250747;-0.00291557261;-0.00492027868;0.00015404477;0.00528866611;0.00397512969;-0.0078400895;-0.00081558025;0.00105648348;-0.0019888645;0.000579927233;0.00108982553;-0.00118880358;-0.000703164842;0.00394961052;0.00392095791;0.0016313215;0.00180206739;-0.00261183782;0.000813624007;0.00510544144;0.00302718044;0.00026369543;0.00139308441,-0.360872;0.109663218;-0.109208144;-0.119042382;0.00384851871;0.0185154155;-0.22337307;0.119033337;0.00154418929;-0.00282315491;-0.00575133599;0.0016020094;0.00588877592;0.00454091141;-0.00712364912;0.000398072472;0.00252184924;-0.000487415004;-0.000527422293;0.00253879977;-0.000706860446;-0.000492829946;0.00464177597;0.00449999515;0.0011834508;0.00104670227;-0.0027863197;-0.000341196195;0.00361208292;0.00220580539;0.000273369922;0.00249431608
2,0.110045947,0,-0.360872;0.109663218;-0.109208144;-0.119042382;0.00384851871;0.0185154155;-0.22337307;0.119033337;0.00154418929;-0.00282315491;-0.00575133599;0.0016020094;0.00588877592;0.00454091141;-0.00712364912;0.000398072472;0.00252184924;-0.000487415004;-0.000527422293;0.00253879977;-0.000706860446;-0.000492829946;0.00464177597;0.00449999515;0.0011834508;0.00104670227;-0.0027863197;-0.000341196195;0.00361208292;0.00220580539;0.000273369922;0.00249431608,-0.358989179;0.10890688;-0.229254082;-0.119061515;0.00456016092;0.0182255395;-0.222769767;0.11799176;0.00245998148;-0.00335415686;-0.00721581327;0.000625621178;0.0048698755;0.00313296681;-0.00762631698;0.000398969773;0.00308774342;-0.00127208128;0.000135353534;0.00290641235;-0.000843167596;0.000706083665;0.00526577234;0.00548650138;0.0010679051;0.000221933529;-0.00264167297;-0.000976131996;0.00303099444;0.00225076359;-0.00067852973;0.00245272508
5,0.0486279353,0,-0.358989179;0.10890688;-0.229254082;-0.119061515;0.00456016092;0.0182255395;-0.222769767;0.11799176;0.00245998148;-0.00335415686;-0.00721581327;0.000625621178;0.0048698755;0.00313296681;-0.00762631698;0.000398969773;0.00308774342;-0.00127208128;0.000135353534;0.00290641235;-0.000843167596;0.000706083665;0.00526577234;0.00548650138;0.0010679051;0.000221933529;-0.00264167297;-0.000976131996;0.00303099444;0.00225076359;-0.00067852973;0.00245272508,-0.357678026;0.107738972;-0.228796631;-0.118788525;0.00486738794;0.147675082;-0.222949326;0.117447913;0.00284707197;-0.00452808198;-0.00788596179;7.36654038e-05;0.00388309965;0.0016620321;-0.00881380308;0.00140673888;0.00176357629;-0.00273536099;-0.000623554981;0.0016349681;-0.000994352507;-0.000204487063;0.00384552591;0.00399540877;0.00193543907;-0.000119929784;-0.00257526571;0.000280360167;0.00376615464;0.000879681553;0.000201195478;0.00103481766
0,0.104565881,0,-0.357678026;0.107738972;-0.228796631;-0.118788525;0.00486738794;0.147675082;-0.222949326;0.117447913;0.00284707197;-0.00452808198;-0.00788596179;7.36654038e-05;0.00388309965;0.0016620321;-0.00881380308;0.00140673888;0.00176357629;-0.00273536099;-0.000623554981;0.0016349681;-0.000994352507;-0.000204487063;0.00384552591;0.00399540877;0.00193543907;-0.000119929784;-0.00257526571;0.000280360167;0.00376615464;0.000879681553;0.000201195478;0.00103481766,-0.472243905;0.106245108;-0.228911549;-0.119373955;0.00485396152;0.146087065;-0.223170102;0.118002094;0.00411794987;-0.0059713684;-0.00730386842;-0.000795162341;0.00312545989;0.000322209205;-0.0090710083;0.00278414506;0.00204309216;-0.00277918531;-0.00015128011;0.0018903655;-0.00248351041;0.000326944573;0.00303454441;0.00412121555;0.00133822882;-0.000226493401;-0.00227601826;0.00162171002;0.00289216917;0.00117213232;0.000433768088;0.00225621182
4,0.107032977,0,-0.472243905;0.106245108;-0.228911549;-0.119373955;0.00485396152;0.146087065;-0.223170102;0.118002094;0.00411794987;-0.0059713684;-0.00730386842;-0.000795162341;0.00312545989;0.000322209205;-0.0090710083;0.00278414506;0.00204309216;-0.00277918531;-0.00015128011;0.0018903655;-0.00248351041;0.000326944573;0.00303454441;0.00412121555;0.00133822882;-0.000226493401;-0.00227601826;0.00162171002;0.00289216917;0.00117213232;0.000433768088;0.00225621182,-0.470822752;0.107427657;-0.228382751;-0.119836606;-0.112179019;0.144311115;-0.221790895;0.118840657;0.00541987736;-0.00575416861;-0.00754109956;-0.000401605328;0.00353402877;-0.000618747436;-0.00950045139;0.00189737813;0.00275665615;-0.00245863432;0.00126232405;0.00270648696;-0.00351792946;-6.10884163e-05;0.00376969506;0.00382497418;0.00277771521;-0.00156823429;-0.00277298014;0.000746647362;0.00368248555;0.00144010561;-0.000426900515;0.00343211135
7,0.112101994,0,-0.470822752;0.107427657;-0.228382751;-0.119836606;-0.112179019;0.144311115;-0.221790895;0.118840657;0.00541987736;-0.00575416861;-0.00754109956;-0.000401605328;0.00353402877;-0.000618747436;-0.00950045139;0.00189737813;0.00275665615;-0.00245863432;0.00126232405;0.00270648696;-0.00351792946;-6.10884163e-05;0.00376969506;0.00382497418;0.00277771521;-0.00156823429;-0.00277298014;0.000746647362;0.00368248555;0.00144010561;-0.000426900515;0.00343211135,-0.469322681;0.107704684;-0.228946418;-0.120912902;-0.111577086;0.144317448;-0.222131908;0.240942627;0.00460257521;-0.00720982812;-0.00695324782;0.00073687837;0.00385773182;-0.000809043122;-0.0108999303;0.00167956424;0.00337440474;-0.002679653;0.00197157916;0.00344842067;-0.00476425607;-0.000390255533;0.00427417597;0.00429211976;0.00276359613;-0.000138493138;-0.00244424352;0.00138255989;0.00485099293;0.000916789228;-0.00112937449;0.00263263797
2,-0.0472064391,0,-0.469322681;0.107704684;-0.228946418;-0.120912902;-0.111577086;0.144317448;-0.222131908;0.240942627;0.00460257521;-0.00720982812;-0.00695324782;0.00073687837;0.00385773182;-0.000809043122;-0.0108999303;0.00167956424;0.00337440474;-0.002679653;0.00197157916;0.00344842067;-0.00476425607;-0.000390255533;0.00427417597;0.00429211976;0.00276359613;-0.000138493138;-0.00244424352;0.00138255989;0.00485099293;0.000916789228;-0.00112937449;0.00263263797,-0.467181802;0.106302947;-0.355394661;-0.120005041;-0.112513132;0.14454855;-0.222681239;0.241211578;0.00445037847;-0.00728252809;-0.00805373769;-0.000369095651;0.00413384289;-0.0022713698;-0.0109132743;0.00239487528;0.00240709237;-0.0026438518;0.000730764703;0.00232680934;-0.00510266982;-0.00120432954;0.00500392402;0.0054310686;0.00365115143;0.00102181081;-0.00238570361;0.00240334845;0.00622469187;0.00227493746;-0.000441960176;0.00379409129
5,-0.0612026826,0,-0.467181802;0.106302947;-0.355394661;-0.120005041;-0.112513132;0.14454855;-0.222681239;0.241211578;0.00445037847;-0.00728252809;-0.00805373769;-0.000369095651;0.00413384289;-0.0022713698;-0.0109132743;0.00239487528;0.00240709237;-0.0026438518;0.000730764703;0.00232680934;-0.00510266982;-0.00120432954;0.00500392402;0.0054310686;0.00365115143;0.00102181081;-0.00238570361;0.00240334845;0.00622469187;0.00227493746;-0.000441960176;0.00379409129,-0.467730463;0.104950875;-0.354566097;-0.120158575;-0.111221738;0.0287773162;-0.223123625;0.241731286;0.00320982002;-0.00647269422;-0.00690639438;0.000960142061;0.00462221494;-0.00293150335;-0.0122166518;0.00112498424;0.00312101981;-0.00177044608;-0.000770223036;0.00110748201;-0.00393469865;-0.000663122395;0.00642741984;0.00595521275;0.00386272254;0.00105930481;-0.00238985568;0.00246050162;0.0051119728;0.00111602037;-4.13978705e-06;0.00340203894
1,0.114137881,0,-0.467730463;0.104950875;-0.354566097;-0.120158575;-0.111221738;0.0287773162;-0.223123625;0.241731286;0.00320982002;-0.00647269422;-0.00690639438;0.000960142061;0.00462221494;-0.00293150335;-0.0122166518;0.00112498424;0.00312101981;-0.00177044608;-0.000770223036;0.00110748201;-0.00393469865;-0.000663122395;0.00642741984;0.00595521275;0.00386272254;0.00105930481;-0.00238985568;0.00246050162;0.0051119728;0.00111602037;-4.13978705e-06;0.00340203894,-0.46679458;0.229088724;-0.352574468;-0.12025018;-0.110042378;0.0296267681;-0.224142;0.241494551;0.00213076221;-0.00767173991;-0.00668247975;0.00122316286;0.00399272982;-0.0026389542;-0.0119178258;0.00139045808;0.0044648163;-0.00275889877;0.000371169357;0.00242145406;-0.00513348635;0.000159329444;0.00594148505;0.00597067038;0.00312027289;0.000391682261;-0.00270062266;0.00246014912;0.00616160035;-4.72877873e-05;3.94725021e-06;0.00485267583
4,0.114439346,0,-0.46679458;0.229088724;-0.352574468;-0.12025018;-0.110042378;0.0296267681;-0.224142;0.241494551;0.00213076221;-0.00767173991;-0.00668247975;0.00122316286;0.00399272982;-0.0026389542;-0.0119178258;0.00139045808;0.0044648163;-0.00275889877;0.000371169357;0.00242145406;-0.00513348635;0.000159329444;0.00594148505;0.00597067038;0.00312027289;0.000391682261;-0.00270062266;0.00246014912;0.00616160035;-4.72877873e-05;3.94725021e-06;0.00485267583,-0.466269761;0.230004743;-0.351510227;-0.119975038;-0.234481722;0.0286658239;-0.223039523;0.242170349;0.00353795593;-0.00717434566;-0.00732945092;0.00179659936;0.00523924129;-0.00358283101;-0.0109239351;0.000162518583;0.00368174678;-0.00336377183;-0.000692421687;0.00380451791;-0.00564716151;-0.00077122834;0.00533517404;0.00725880684;0.00439058524;-0.000679295161;-0.00349184754;0.00291087572;0.00468177581;0.00128643459;-9.45904758e-05;0.00357531803
7,0.108335309,0,-0.466269761;0.230004743;-0.351510227;-0.119975038;-0.234481722;0.0286658239;-0.223039523;0.242170349;0.00353795593;-0.00717434566;-0.00732945092;0.00179659936;0.00523924129;-0.00358283101;-0.0109239351;0.000162518583;0.00368174678;-0.00336377183;-0.000692421687;0.00380451791;-0.00564716151;-0.00077122834;0.00533517404;0.00725880684;0.00439058524;-0.000679295161;-0.00349184754;0.00291087572;0.00468177581;0.00128643459;-9.45904758e-05;0.00357531803,-0.465267956;0.228899285;-0.35036993;-0.12101835;-0.233884007;0.0289892852;-0.221529976;0.360505641;0.00343495794;-0.00806357991;-0.00834939443;0.00080492592;0.00455622654;-0.00311974646;-0.0112204524;0.000414754002;0.00415449031;-0.00204762816;-0.00130058615;0.00515885511;-0.00692960294;-0.00212009647;0.00390774943;0.00756829185;0.00467231311;-0.000155910966;-0.00319650047;0.00307596126;0.00581877492;0.00179898459;-0.0005583319;0.00419518678
2,0.0231197681,0,-0.465267956;0.228899285;-0.35036993;-0.12101835;-0.233884007;0.0289892852;-0.221529976;0.360505641;0.00343495794;-0.00806357991;-0.00834939443;0.00080492592;0.00455622654;-0.00311974646;-0.0112204524;0.000414754002;0.00415449031;-0.00204762816;-0.00130058615;0.00515885511;-0.00692960294;-0.00212009647;0.00390774943;0.00756829185;0.00467231311;-0.000155910966;-0.00319650047;0.00307596126;0.00581877492;0.00179898459;-0.0005583319;0.00419518678,-0.46287331;0.227128819;-0.229884475;-0.121699393;-0.234841511;0.0275367759;-0.220734671;0.358882666;0.00389882922;-0.00800482649;-0.00977190863;0.0011766504;0.00432832073;-0.00332258525;-0.0098276129;0.00188426161;0.00386027386;-0.00132369238;0.00019526144;0.00437686918;-0.00747013884;-0.00263384054;0.00522799883;0.00838908087;0.00392795773;0.000484249089;-0.00360424025;0.0025099616;0.00717995502;0.00294383126;0.000244071241;0.00552679831
6,0.118774645,0,-0.46287331;0.227128819;-0.229884475;-0.121699393;-0.234841511;0.0275367759;-0.220734671;0.358882666;0.00389882922;-0.00800482649;-0.00977190863;0.0011766504;0.00432832073;-0.00332258525;-0.0098276129;0.00188426161;0.00386027386;-0.00132369238;0.00019526144;0.00437686918;-0.00747013884;-0.00263384054;0.00522799883;0.00838908087;0.00392795773;0.000484249089;-0.00360424025;0.0025099616;0.00717995502;0.00294383126;0.000244071241;0.00552679831,-0.462162584;0.226800099;-0.230773941;-0.120173864;-0.234548509;0.0263993666;-0.349509299;0.359205246;0.00285518169;-0.00945832022;-0.0102571314;0.00029165158;0.00411953451;-0.00264422037;-0.00903817546;0.00179482508;0.00454564299;-0.00164828729;-0.00054431532;0.00421888987;-0.00739852013;-0.00278478721;0.00540739996;0.00869226456;0.00296814949;0.0012815845;-0.00268565724;0.00201555993;0.00814599544;0.0031795681;6.90519082e-05;0.0066903769
1,0.116931222,0,-0.462162584;0.226800099;-0.230773941;-0.120173864;-0.234548509;0.0263993666;-0.349509299;0.359205246;0.00285518169;-0.00945832022;-0.0102571314;0.00029165158;0.00411953451;-0.00264422037;-0.00903817546;0.00179482508;0.00454564299;-0.00164828729;-0.00054431532;0.00421888987;-0.00739852013;-0.00278478721;0.00540739996;0.00869226456;0.00296814949;0.0012815845;-0.00268565724;0.00201555993;0.00814599544;0.0031795681;6.90519082e-05;0.0066903769,-0.459739715;0.353731304;-0.22931698;-0.118995018;-0.23306483;0.0249508116;-0.349978954;0.359103411;0.00332234055;-0.0100367293;-0.0114927599;0.00018679825;0.00268169865;-0.00383818755;-0.00887186639;0.00178957148;0.0041150935;-0.00132813514;-0.000889605726;0.00460888399;-0.00757790217;-0.00177941588;0.00505276071;0.0088346852;0.00286389678;-1.77347101e-05;-0.00141289004;0.000877436483;0.00915590115;0.00176841335;0.00149309332;0.00783803221
4,0.0638024434,0,-0.459739715;0.353731304;-0.22931698;-0.118995018;-0.23306483;0.0249508116;-0.349978954;0.359103411;0.00332234055;-0.0100367293;-0.0114927599;0.00018679825;0.00268169865;-0.00383818755;-0.00887186639;0.00178957148;0.0041150935;-0.00132813514;-0.000889605726;0.00460888399;-0.00757790217;-0.00177941588;0.00505276071;0.0088346852;0.00286389678;-1.77347101e-05;-0.00141289004;0.000877436483;0.00915590115;0.00176841335;0.00149309332;0.00783803221,-0.45850125;0.354192168;-0.230096444;-0.117987432;-0.344333798;0.0242688116;-0.348425001;0.357750952;0.00461316202;-0.0101365792;-0.0122021558;0.000873083889;0.00248588272;-0.00281423959;-0.00740427198;0.00252865092;0.00271131657;-0.00089887972;-0.000651591108;0.0042143953;-0.00646910444;-0.00113458955;0.00619646301;0.00931750052;0.00159400178;0.000933750998;-0.00166024291;0.000357984682;0.0100431321;0.00134628476;0.000203078496;0.00910386164
7,0.114894681,0,-0.45850125;0.354192168;-0.230096444;-0.117987432;-0.344333798;0.0242688116;-0.348425001;0.357750952;0.00461316202;-0.0101365792;-0.0122021558;0.000873083889;0.00248588272;-0.00281423959;-0.00740427198;0.00252865092;0.00271131657;-0.00089887972;-0.000651591108;0.0042143953;-0.00646910444;-0.00113458955;0.00619646301;0.00931750052;0.00159400178;0.000933750998;-0.00166024291;0.000357984682;0.0100431321;0.00134628476;0.000203078496;0.00910386164,-0.456404299;0.353336126;-0.230601922;-0.118122868;-0.344928533;0.0244115051;-0.348012805;0.482645631;0.00568554644;-0.010542104;-0.0107448725;0.00129959476;0.00177669735;-0.00245781848;-0.00825090054;0.00251858868;0.00157774752;0.000426677929;-0.00214116368;0.0033395451;-0.00709369127;0.000102539081;0.00734065333;0.010666362;0.000611123978;-0.000503892836;-0.000466338824;-0.000482597679;0.0095054023;0.000777473557;-0.000678997661;0.00925293472
3,0.0264794361,0,-0.456404299;0.353336126;-0.230601922;-0.118122868;-0.344928533;0.0244115051;-0.348012805;0.482645631;0.00568554644;-0.010542104;-0.0107448725;0.00129959476;0.00177669735;-0.00245781848;-0.00825090054;0.00251858868;0.00157774752;0.000426677929;-0.00214116368;0.0033395451;-0.00709369127;0.000102539081;0.00734065333;0.010666362;0.000611123978;-0.000503892836;-0.000466338824;-0.000482597679;0.0095054023;0.000777473557;-0.000678997661;0.00925293472,-0.455892414;0.352323353;-0.229714304;0.0115018785;-0.345653713;0.0242195129;-0.346790612;0.480600506;0.00472729001;-0.010266263;-0.00982854329;0.0017119369;0.00130702578;-0.00366920047;-0.00765360706;0.00117231393;0.000112598878;0.00074004929;-0.00181782013;0.00287751714;-0.0075027626;0.000321736617;0.00705581717;0.0120757734;0.0016960752;-0.000998830656;-0.00171351037;-0.000910024508;0.00969635695;-0.000699314347;0.000601625128;0.00808740407
